order_id,order_date,customer_id,customer_name,product_id,product_names,categories,quantity,price,total
0,2022-04-25,198,Customer_18387,200,Laptop,Electronics,1,37.67,37.67
1,2011-08-02,957,Customer_153,204,Monitor,Electronics,1,12.11,12.11
2,2010-01-25,736,Customer_2920,203,Chair,Office,2,36.61,73.22
3,2011-12-11,595,Customer_32071,208,Notebook,Stationery,4,18.18,72.72
4,2012-09-03,446,Customer_32109,203,Chair,Office,5,31.11,155.55
5,2023-04-20,654,Customer_3913,201,Smartphone,Electronics,5,2.71,13.55
6,2022-01-28,911,Customer_5903,206,Paper,Stationery,8,12.78,102.24
7,2018-08-12,347,Customer_29641,206,Paper,Stationery,1,72.14,72.14
8,2022-12-12,759,Customer_19035,208,Notebook,Stationery,3,56.54,169.62
9,2015-01-04,297,Customer_9348,203,Chair,Office,5,91.66,458.29999999999995
10,2018-12-12,114,Customer_12131,202,Desk,Office,2,28.18,56.36
11,2017-03-19,478,Customer_30151,207,Pen,Stationery,8,80.12,640.96
12,2016-05-16,875,Customer_4502,208,Notebook,Stationery,7,68.62,480.34000000000003
13,2011-01-09,504,Customer_17916,207,Pen,Stationery,4,66.02,264.08
14,2017-11-25,714,Customer_14878,209,Coffee Maker,Electronics,5,72.36,361.8
15,2014-01-02,740,Customer_28760,203,Chair,Office,4,58.3,233.2
16,2011-06-17,292,Customer_503,205,Printer,Electronics,8,3.18,25.44
17,2011-02-22,929,Customer_31238,204,Monitor,Electronics,10,14.25,142.5
18,2018-06-22,291,Customer_32723,205,Printer,Electronics,9,45.32,407.88
19,2020-07-01,879,Customer_22554,210,Cabinet,Office,9,76.62,689.58
20,2020-03-01,951,Customer_32010,206,Paper,Stationery,3,23.59,70.77
21,2015-11-07,265,Customer_7954,206,Paper,Stationery,5,41.92,209.60000000000002
22,2017-11-21,866,Customer_23789,200,Laptop,Electronics,4,25.92,103.68
23,2010-01-16,526,Customer_1507,205,Printer,Electronics,2,86.9,173.8
24,2018-02-13,515,Customer_9824,210,Cabinet,Office,6,88.28,529.6800000000001
25,2016-12-13,871,Customer_21496,210,Cabinet,Office,10,22.87,228.70000000000002
26,2021-06-25,717,Customer_16068,203,Chair,Office,9,11.33,101.97
27,2017-07-01,252,Customer_27702,203,Chair,Office,2,77.91,155.82
28,2014-04-25,454,Customer_13980,204,Monitor,Electronics,1,67.11,67.11
29,2017-11-23,558,Customer_2598,203,Chair,Office,5,50.29,251.45
30,2023-11-10,632,Customer_6778,210,Cabinet,Office,1,55.13,55.13
31,2021-04-23,970,Customer_5505,205,Printer,Electronics,1,65.8,65.8
32,2016-03-12,546,Customer_5468,209,Coffee Maker,Electronics,8,57.78,462.24
33,2020-02-28,985,Customer_30188,202,Desk,Office,6,25.76,154.56
34,2017-07-16,350,Customer_15658,207,Pen,Stationery,5,12.55,62.75
35,2023-05-10,383,Customer_2444,206,Paper,Stationery,10,12.39,123.9
36,2023-04-03,138,Customer_14587,202,Desk,Office,1,8.23,8.23
37,2018-03-28,242,Customer_17930,207,Pen,Stationery,10,89.94,899.4
38,2019-07-23,555,Customer_12888,203,Chair,Office,2,33.0,66.0
39,2015-04-28,258,Customer_22775,210,Cabinet,Office,4,15.95,63.8
40,2013-07-24,936,Customer_31974,211,Plastic Cups,Sundry,7,82.66,578.62
41,2021-05-10,780,Customer_14687,211,Plastic Cups,Sundry,1,62.4,62.4
42,2012-02-24,452,Customer_21304,206,Paper,Stationery,6,67.5,405.0
43,2022-02-15,839,Customer_20472,202,Desk,Office,2,8.54,17.08
44,2018-07-04,501,Customer_15152,201,Smartphone,Electronics,3,49.77,149.31
45,2017-01-29,990,Customer_20099,203,Chair,Office,9,2.67,24.03
46,2019-10-06,260,Customer_17228,206,Paper,Stationery,5,18.08,90.39999999999999
47,2010-08-11,296,Customer_24706,200,Laptop,Electronics,2,23.6,47.2
48,2019-06-17,196,Customer_16601,200,Laptop,Electronics,3,8.53,25.589999999999996
49,2013-04-26,682,Customer_25994,206,Paper,Stationery,1,66.15,66.15
50,2018-06-10,894,Customer_16197,208,Notebook,Stationery,10,17.42,174.20000000000002
51,2010-04-15,601,Customer_20063,200,Laptop,Electronics,2,70.63,141.26
52,2014-06-11,298,Customer_32726,209,Coffee Maker,Electronics,2,69.94,139.88
53,2017-05-01,526,Customer_30170,202,Desk,Office,10,22.33,223.29999999999998
54,2017-01-09,897,Customer_19602,208,Notebook,Stationery,2,80.36,160.72
55,2014-05-29,280,Customer_852,208,Notebook,Stationery,8,95.07,760.56
56,2019-12-23,548,Customer_30766,203,Chair,Office,4,38.5,154.0
57,2011-09-05,967,Customer_31725,209,Coffee Maker,Electronics,4,89.69,358.76
58,2022-04-15,873,Customer_22576,203,Chair,Office,4,84.51,338.04
59,2021-01-09,823,Customer_16091,207,Pen,Stationery,6,94.32,565.92
60,2013-11-20,790,Customer_849,210,Cabinet,Office,9,51.78,466.02
61,2014-10-24,290,Customer_27026,204,Monitor,Electronics,2,83.88,167.76
62,2017-11-25,362,Customer_23619,201,Smartphone,Electronics,1,7.43,7.43
63,2011-11-21,739,Customer_29699,211,Plastic Cups,Sundry,3,3.58,10.74
64,2023-05-28,992,Customer_11433,201,Smartphone,Electronics,2,96.9,193.8
65,2020-03-11,859,Customer_5705,206,Paper,Stationery,5,49.21,246.05
66,2012-09-26,885,Customer_30470,208,Notebook,Stationery,7,49.15,344.05
67,2011-08-26,699,Customer_3227,200,Laptop,Electronics,3,18.87,56.61
68,2017-11-27,601,Customer_31328,204,Monitor,Electronics,8,50.47,403.76
69,2016-02-29,886,Customer_31731,207,Pen,Stationery,9,76.82,691.3799999999999
70,2014-04-16,616,Customer_17196,203,Chair,Office,6,34.15,204.89999999999998
71,2016-07-19,467,Customer_19796,206,Paper,Stationery,10,10.97,109.7
72,2018-04-22,994,Customer_30716,208,Notebook,Stationery,1,18.67,18.67
73,2017-03-02,980,Customer_22189,200,Laptop,Electronics,9,62.23,560.0699999999999
74,2017-03-28,464,Customer_17776,201,Smartphone,Electronics,1,94.24,94.24
75,2019-02-25,815,Customer_16864,211,Plastic Cups,Sundry,10,96.77,967.6999999999999
76,2016-12-28,636,Customer_19495,201,Smartphone,Electronics,2,49.64,99.28
